sosa-description_en,sosa-description_fr,commodity-description_en,commodity-description_fr,commodity,supplier-standardized-name,supplier-legal-name,supplier-operating-name,end-user-entity_en,end-user-entity_fr,award-date,expiry-date,delivery-point-code,delivery-point_en,delivery-point_fr,agreement-type_en,agreement-type_fr,agreement-number,date-file-published
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: KINEX THERAPY (E60ZH-190000/022/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : KINEX THERAPY (E60ZH-190000/022/ZH).","Comprehensive health services","Services de santé complets",85100000,"KINEX THERAPY LTD","Kinex Therapy LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-MB,Manitoba,Manitoba,NMSO,OCPN,CW2231333-ACM_143622317,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: KINEX THERAPY (E60ZH-190000/022/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : KINEX THERAPY (E60ZH-190000/022/ZH).","Comprehensive health services","Services de santé complets",85100000,"KINEX THERAPY LTD","Kinex Therapy LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NB,"New Brunswick",Nouveau-Brunswick,NMSO,OCPN,CW2231333-ACM_143622317,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: KINEX THERAPY (E60ZH-190000/022/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : KINEX THERAPY (E60ZH-190000/022/ZH).","Comprehensive health services","Services de santé complets",85100000,"KINEX THERAPY LTD","Kinex Therapy LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,NMSO,OCPN,CW2231333-ACM_143622317,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: KINEX THERAPY (E60ZH-190000/022/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : KINEX THERAPY (E60ZH-190000/022/ZH).","Comprehensive health services","Services de santé complets",85100000,"KINEX THERAPY LTD","Kinex Therapy LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-NS,"Nova Scotia",Nouvelle-Écosse,NMSO,OCPN,CW2231333-ACM_143622317,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: KINEX THERAPY (E60ZH-190000/022/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : KINEX THERAPY (E60ZH-190000/022/ZH).","Comprehensive health services","Services de santé complets",85100000,"KINEX THERAPY LTD","Kinex Therapy LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-PE,"Prince Edward Island",Île-du-Prince-Édouard,NMSO,OCPN,CW2231333-ACM_143622317,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: KINEX THERAPY (E60ZH-190000/022/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : KINEX THERAPY (E60ZH-190000/022/ZH).","Comprehensive health services","Services de santé complets",85100000,"KINEX THERAPY LTD","Kinex Therapy LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2019-01-02,2026-06-30,CA-SK,Saskatchewan,Saskatchewan,NMSO,OCPN,CW2231333-ACM_143622317,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGO-SAFETY INC (E60ZH-190000/023/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGO-SAFETY INC (E60ZH-190000/023/ZH).","Comprehensive health services","Services de santé complets",85100000,"ERGO-SAFETY INC","Ergo-Safety Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2020-02-11,2026-06-30,CA,Canada,Canada,NMSO,OCPN,CW2231336-ACM_148404803,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: LOUMAN ERGO CONCEPTS (E60ZH-190000/025/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : LOUMAN ERGO CONCEPTS (E60ZH-190000/025/ZH).","Comprehensive health services","Services de santé complets",85100000,"LOUIS LAFLAMME","LOUIS LAFLAMME",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2020-02-12,2026-06-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",NMSO,OCPN,CW2231342-ACM_143623337,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ANDERSON ERGONOMICS CONSULTING INC (E60ZH-190000/027/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ANDERSON ERGONOMICS CONSULTING INC (E60ZH-190000/027/ZH).","Comprehensive health services","Services de santé complets",85100000,"ANDERSON ERGONOMICS CONSULTING INC","Anderson Ergonomics Consulting Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2021-11-29,2026-06-30,CA,Canada,Canada,NMSO,OCPN,CW2233902-ACM_164200328,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ERGO-MOTION CONSULTING (E60ZH-190000/029/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ERGO-MOTION CONSULTING (E60ZH-190000/029/ZH).","Comprehensive health services","Services de santé complets",85100000,"HIGHER GROUND SOLUTIONS LTD","Higher Ground Solutions Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2021-11-29,2026-06-30,CA,Canada,Canada,NMSO,OCPN,CW2233908-ACM_158122066,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: INMOTION HEALTH CENTRE INC (E60ZH-190000/030/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : INMOTION HEALTH CENTRE INC (E60ZH-190000/030/ZH).","Comprehensive health services","Services de santé complets",85100000,"INMOTION HEALTH CENTRE INC","InMotion Health Centre Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2021-11-29,2026-06-30,CA,Canada,Canada,NMSO,OCPN,CW2233911-ACM_166561643,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ONCIDIUM (E60ZH-190000/032/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ONCIDIUM (E60ZH-190000/032/ZH).","Comprehensive health services","Services de santé complets",85100000,"ONCIDIUM INC","ONCIDIUM INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2021-11-29,2026-06-30,CA,Canada,Canada,NMSO,OCPN,CW2233917-ACM_166640597,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: SANTE CIRCLE HEALTH INC (E60ZH-190000/033/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : SANTE CIRCLE HEALTH INC (E60ZH-190000/033/ZH).","Comprehensive health services","Services de santé complets",85100000,"SANTE CIRCLE HEALTH INC","Sante Circle Health Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2021-11-29,2026-06-30,CA,Canada,Canada,NMSO,OCPN,CW2233920-ACM_167156347,"2026-03-12 22:50:02"
"Office Ergonomic Assessment Service (Health Services). Legacy agreement: ACCLAIM ABILITY MANAGEMENT LTD (E60ZH-190000/026/ZH).","Office Ergonomic Assessment Service (Services de santé). Ancien accord : ACCLAIM ABILITY MANAGEMENT LTD (E60ZH-190000/026/ZH).","Comprehensive health services","Services de santé complets",85100000,"ACCLAIM ABILITY MANAGEMENT LTD","Acclaim Ability Management Ltd.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2021-11-29,2026-06-30,CA,Canada,Canada,NMSO,OCPN,CW2234761-ACM_167815321-1,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-AB,Alberta,Alberta,SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-BC,"British Columbia",Colombie-Britannique,SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-MB,Manitoba,Manitoba,SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-NB,"New Brunswick",Nouveau-Brunswick,SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-NS,"Nova Scotia",Nouvelle-Écosse,SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-ON,Ontario,Ontario,SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-PE,"Prince Edward Island",Île-du-Prince-Édouard,SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-QC,Quebec,Québec,SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - ENCORE (E60HN-14AVSI/001/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - ENCORE (E60HN-14AVSI/001/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"3627730 CANADA INC","3627730 CANADA INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-SK,Saskatchewan,Saskatchewan,SA,AMA,CW2238035-ACM_147344746,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - PRO SHOW LTD (E60HN-14AVSI/009/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et lâinterprétation simultanée.- PRO SHOW LTD (E60HN-14AVSI/009/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"WESTERN PRO SHOW RENTALS LTD","Western Pro Show Rentals Ltd",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2018-06-25,2028-11-30,CA-AB,Alberta,Alberta,SA,AMA,CW2238035-ACM_152406982,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - PRO SHOW LTD (E60HN-14AVSI/009/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et lâinterprétation simultanée.- PRO SHOW LTD (E60HN-14AVSI/009/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"WESTERN PRO SHOW RENTALS LTD","Western Pro Show Rentals Ltd",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2018-06-25,2028-11-30,CA-BC,"British Columbia",Colombie-Britannique,SA,AMA,CW2238035-ACM_152406982,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - INLAND AUDIO VISUAL (E60HN-14AVSI/005/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - INLAND AUDIO VISUAL (E60HN-14AVSI/005/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"INLAND AUDIO VISUAL LIMITED","Inland Audio Visual Limited",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-AB,Alberta,Alberta,SA,AMA,CW2238035-ACM_152479386,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - INLAND AUDIO VISUAL (E60HN-14AVSI/005/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - INLAND AUDIO VISUAL (E60HN-14AVSI/005/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"INLAND AUDIO VISUAL LIMITED","Inland Audio Visual Limited",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-BC,"British Columbia",Colombie-Britannique,SA,AMA,CW2238035-ACM_152479386,"2026-03-12 22:50:02"
"E60HN-14AVSI - CW2238035 - Rental of Audio Visual and Simultaneous Interpretation Equipment - INLAND AUDIO VISUAL (E60HN-14AVSI/005/HN).","E60HN-14AVSI - CW2238035 - Location d'équipement Audio Visuel et interprétation simultanée - INLAND AUDIO VISUAL (E60HN-14AVSI/005/HN).","Consumer electronics","Équipements électroniques grand public",52160000,"INLAND AUDIO VISUAL LIMITED","Inland Audio Visual Limited",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2015-11-03,2028-11-30,CA-MB,Manitoba,Manitoba,SA,AMA,CW2238035-ACM_152479386,"2026-03-12 22:50:02"
